题目,A,B,C,D,正确答案,解析连接,图片名称,,,,,,,,,,,,
下列变化不能说明发生了化学变化的是（ ）,变化时有电子的得失或共用电子对的形成,变化过程中有旧化学键的断裂和新化学键形成,变化时释放出能量,变化前后原子的种类和数目没有改变，分子种类增加了,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/5b46abbbcb94514ae4a3c0bd61d9_2752814ex.png,514ae4a3c0bd61d9_2752814ex.png,,,,,,,,,,,,
化学与生产、生活密切相关，下列说法正确的是（　　）,盐卤可用于制作豆腐,从海水中提取物质都要通过化学反应才能实现,煤经过气化和液化等物理变化可转化为清洁燃料,制作航天服的聚醋纤维和用于光缆通信的光导纤维都是新型无机非金属材料,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/88d65926f85ff61509fc58e781b9_2472836ex.png,f61509fc58e781b9_2472836ex.png,,,,,,,,,,,,
20世纪80年代人们发现了碳的另一类单质，它们是由一系列偶数个碳原子组成的分子中C60（足球烯，分了中含有30个双键）是具代表性．X为n个C60连接而成的物质，结构如图（　　）,C<sub>60</sub>转变为X是物理变化,X中含积极性共价键,X与金刚石互为同位素,X能够发生加成反应,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/874da8cdcd0b33853e6564a222b6_2425880ex.png,33853e6564a222b6_2425880ex.png,,,,,,,,,,,,
下列各项古代工、农业活动中，其原理不涉及化学反应的是（ ） A．水车灌溉B．粮食酿醋C．黏土烧砖D．湿法炼铜,A,B,C,D,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/7a545c36e099d6a613dcc72e89e0_2326644ex.png,d6a613dcc72e89e0_2326644ex.png,,,,,,,,,,,,
处处留心皆知识．生活中遇到下列问题，不涉及到化学变化的是（　　）,植物光合作用,用四氯化碳可擦去圆珠笔油,自来水厂用液氯消毒,可用食醋洗掉水垢,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c2a2fef513d8033460441f01a43c_5265763ex.png,033460441f01a43c_5265763ex.png,,,,,,,,,,,,
下列变化过程中，没有发生化学变化的是（　　）,用食盐水生产氯气,从海带中提取碘,氨气加压制液氨,用黏土和石灰石制水泥,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/0dddf09727540644cbf58a047b14_5266111ex.png,0644cbf58a047b14_5266111ex.png,,,,,,,,,,,,
下列过程发生化学变化的是（ ）,香水挥发,海水晒盐,冷、浓硝酸使铁片钝化,干冰升华,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/9768c11886f9f4ae62f630a6ec51_3781789ex.png,f4ae62f630a6ec51_3781789ex.png,,,,,,,,,,,,
为了除去蛋白质溶液中混有的少量食盐，可采用的方法是（　　）,过滤,渗析,萃取,重结晶,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/206966eb54529e0bf62952f8aa5b_2324688ex.png,9e0bf62952f8aa5b_2324688ex.png,,,,,,,,,,,,
下列工作原理或变化过程不涉及化学反应的为( ),高炉炼铁,火箭发射,酸雨的形成,丁达尔效应,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/502908f7c9cc8ae2b9c32f2aecc4_10432467ex.png,ae2b9c32f2aecc4_10432467ex.png,,,,,,,,,,,,
中华民族有着光辉灿烂的发明创造史，下列古代的技术应用中不涉及化学反应的是（ ）,烧结粘土制陶瓷,湿法炼铜,海水晒盐,粮食酿酒,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/f2dfc38f0f5bc4a9e7773f3c2ad9_2331139ex.png,c4a9e7773f3c2ad9_2331139ex.png,,,,,,,,,,,,
下列属于物理变化的是（　　）,煤的干馏,石油的裂解,煤的气化,石油的分馏,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/8528761ff93aa1bd4abfd34ed249_2425842ex.png,a1bd4abfd34ed249_2425842ex.png,,,,,,,,,,,,
下列属于化学变化的是（　　）,干冰升华,氯气液化,海水晒盐,钢铁生锈,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/1b28feebed4ed5a6951ce6f1adb9_5165431ex.png,d5a6951ce6f1adb9_5165431ex.png,,,,,,,,,,,,
中华语言博大精深，下列词语中，其含意是物理变化的是（ ）,蜡炬成灰,滴水穿石,百炼成钢,曾青得铁,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d3602c62078942ed267295ca58b9_3526763ex.png,42ed267295ca58b9_3526763ex.png,,,,,,,,,,,,
下列过程涉及化学变化的是 （ ）,百炼成钢,碘的升华,氨气液化,滴水成冰,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/694a8c7429d2182c3e34bae421f6_10432562ex.png,82c3e34bae421f6_10432562ex.png,,,,,,,,,,,,
下列过程涉及化学变化的是（ ）,氢氧化铁胶体净水,四氯化碳加入溴水中萃取溴,氯化钠的焰色反应,钢铁生锈,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/a50ba69327c808d387c30f2a21b5_9167658ex.png,08d387c30f2a21b5_9167658ex.png,,,,,,,,,,,,
为了除去粗盐中的CaCl2、MgCl2、Na2SO4以及泥沙等杂质，某同学设计了一种制备精盐的实验方案，步骤如下（用于沉淀的试剂稍过量）：    下列说法错误的是（ ）,第②步过滤出的滤渣是泥沙,在第④步中不能用KOH替代NaOH,第⑤步加入Na<sub>2</sub>CO<sub>3</sub>溶液的目的是除去Ba<sup>2+</sup>和Ca<sup>2+</su,第③、④、⑤步添加试剂的操作顺序还可以是：NaOH、Na<sub>2</sub>CO<sub>3</sub>、BaCl<sub>2</sub,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/3d16c5b5a93995ec6dfaf7581535_10535604ex.png,5ec6dfaf7581535_10535604ex.png,,,,,,,,,,,,
下列物质与常用危险化学品的类别不对应的是（ ）,H<sub>2</sub>SO<sub>4</sub>、NaOH﹣﹣腐蚀品,CH<sub>4</sub>﹣﹣易燃液体,Na﹣﹣遇湿易燃物品,KMnO<sub>4</sub>﹣﹣氧化剂,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/254af3461fbd4d1fe5408287d6b5_3894203ex.png,4d1fe5408287d6b5_3894203ex.png,,,,,,,,,,,,
下列实验操作与安全事故处理不正确的是：（ ）,用试管夹从试管底部由下往上夹住距试管口约1/3处，手持试管夹长柄末端，进行加热,将CO中毒者移动到通风处抢救,不慎将浓H<sub>2</sub>SO<sub>4</sub>溅到皮肤上，应立即用NaOH稀溶液进行冲洗,眼睛里不慎溅入药液，应立即用水冲洗，边洗边眨眼，不可用手揉眼睛,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/837c089cf9422ae33f356dff0d78_7006149ex.png,2ae33f356dff0d78_7006149ex.png,,,,,,,,,,,,
三组混合液：①提取碘水中的碘②花生油和水③乙醇和水．分离三种混合物正确方法依次是（　　）,萃取、蒸馏、分液,萃取、分液、蒸馏,分液、蒸馏、萃取,蒸馏、萃取、分液,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/8d148a3b318978d38b8a158d2e81_6245911ex.png,78d38b8a158d2e81_6245911ex.png,,,,,,,,,,,,
提纯下列物质（括号内物质为杂质），选用的试剂和方法都正确的是（　　）  物 质除杂试剂方法ACO（ CO2）NaOH溶液洗气BFeCl2溶液（FeCl3）足量铜粉过滤CKNO3（KCl）﹣﹣蒸发结晶DAl2O3（Fe2O3）NaOH溶液过滤,A,B,C,D,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/5d006f2655946b75a1db8ab9ced6_5165455ex.png,6b75a1db8ab9ced6_5165455ex.png,,,,,,,,,,,,
下列各组混合物中．能用分液漏斗分离的是（　　）,酒情和水,碘和四氯化碳,水和四氯化碳,硫单质和二硫化碳,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/1e87361296eb687bff6062fbf6d9_5172961ex.png,687bff6062fbf6d9_5172961ex.png,,,,,,,,,,,,
在不用指示剂的情况下，欲将氯化钙溶液中的盐酸除去，最好选用下列物质中的（ ）,碳酸钙粉末,生石灰粉末,石灰水,熟石灰粉末,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/301989984034e54fc366d04c0a6e_10136796ex.png,54fc366d04c0a6e_10136796ex.png,,,,,,,,,,,,
要将溶液中的Al3+沉淀完全，则下列试剂中的最佳试剂是（　　）,NaOH溶液,浓氨水,NaCl溶液,Na<sub>2</sub>SO<sub>4</sub>溶液,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/592983bd2d0f52fea5f1e8bbb2ce_5170507ex.png,52fea5f1e8bbb2ce_5170507ex.png,,,,,,,,,,,,
下列实验操作中，错误的是（ ）,蒸发操作时，不能使混合物中的水分完全蒸干后，才停止加热,蒸馏操作时，应使温度计水银球与蒸馏烧瓶的支管口处相平,分液操作时，分液漏斗中下层液体从下口放出，上层液体从上口倒出,萃取操作时，应选择有机萃取剂，且萃取剂的密度必须比水大,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/99898f3283d9cd80de809156dbc5_10432642ex.png,d80de809156dbc5_10432642ex.png,,,,,,,,,,,,
实验室里钠保存在下列哪种液体中（ ）,煤油,水,苯,四氯化碳,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c6173bb2010c2c8e3e1077818e0a_3894116ex.png,2c8e3e1077818e0a_3894116ex.png,,,,,,,,,,,,
下列说法正确的是（ ）,将试管直立，然后向其中加入块状大理石,向盛有某溶液的试管中倾倒稀硫酸检验是否有Ba<sup>2</sup><sup>+</sup>存在,实验用完的药品一定要放回原试剂瓶中,过滤时玻璃棒的末端应轻轻靠在三层的滤纸上,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/4483d4817d0ed7f6946920c8026f_4017080ex.png,d7f6946920c8026f_4017080ex.png,,,,,,,,,,,,
下列混合物的分离和提纯方法中，主要不是从物质的溶解性角度考虑的是（ ）,过滤,蒸馏,结晶,萃取,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/e999983c0cee89e689684499b4a8_3430986ex.png,89e689684499b4a8_3430986ex.png,,,,,,,,,,,,
下列各组物质能用分液漏斗分离的是（　　）,植物油和水的混合物,含泥沙的食盐水,乙醇的水溶液,硫酸钡和氯化银的固体混合物,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/385574417444ed5b147355abfb8e_5171321ex.png,ed5b147355abfb8e_5171321ex.png,,,,,,,,,,,,
粗盐中含Ca2+、Mg2+、Fe3+、SO42﹣及泥沙等杂质，需要提纯后才能综合利用．粗盐提纯的步骤有：①加入过量的Na2CO3溶液；②加入过量的BaCl2溶液；③加入过量的NaOH溶液；④加盐酸调节溶液的pH；⑤溶解；⑥过滤； ⑦蒸发．正确的操作顺序是（　　）,⑤①③②④⑥⑦,⑤①②③⑥④⑦,⑤③①②⑥④⑦,⑤③②①⑥④⑦,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/817cfc2d34e60df938cab7633907_6245927ex.png,0df938cab7633907_6245927ex.png,,,,,,,,,,,,
下列实验操作中错误的是（ ）,蒸发操作时，当有大量晶体析出时停止加热，用余热使水蒸发。,蒸馏操作时，应使温度计水银球靠近蒸馏烧瓶的支管口处,分液操作时，分液漏斗中下层液体从下口放出，上层液体从上口倒出,萃取操作时，应选择有机萃取剂，且萃取剂的密度必须比水大,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/de6759504fa9f8d30023536a2b1e_7006131ex.png,f8d30023536a2b1e_7006131ex.png,,,,,,,,,,,,
萃取水中的溴，不可以选择的萃取剂是（ ）,汽油,酒精,苯,四氯化碳,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/d1953ad1a93bbf5539f67b0f86ee_3876882ex.png,bf5539f67b0f86ee_3876882ex.png,,,,,,,,,,,,
用下列实验装置进行相应实验，能达到实验目的是（　　）,用图所示装置除去Cl<sub>2</sub>中含有的少量HCl <img height="87" src="/files/attach/files/content/2020/0325/8a3d2cefa5d5f785f2cdf642398688db.png" v:shapes="图片_x0020_100001" width="98",用图所示装置蒸干NaHCO<sub>3</sub>溶液制备NaHCO<sub>3</sub>晶体 <img height="118" src="/files/attach/files/content/2020/0325/14757466db2bc44f1138f15fc868b109.png" v:shapes="图片_x0020_100002" width="65",用图所示装置制取少量纯净的CO<sub>2</sub>气体 <img height="114" src="/files/attach/files/content/2020/0325/84b7a89061389ea57a002a3784329666.png" v:shapes="图片_x0020_100003" width="108",用图所示装置分离CCl<sub>4</sub>萃取碘水后的液态混合物 <img height="123" src="/files/attach/files/content/2020/0325/c6ab5e9cda89854ef93f14ff14627dfa.png" v:shapes="图片_x0020_100004" width="113",D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/bffec221b4c520765a4f56a92fc5_6631761ex.png,20765a4f56a92fc5_6631761ex.png,,,,,,,,,,,,
粗盐中含有较多的杂质，有不溶性的泥沙，还有可溶性的 CaCl2、MgCl2、Na2SO4 等杂质， 通过如下几个实验步骤，可制得纯净的食盐水，其中错误的是（）,可以先加入稍过量的 BaCl<sub>2</sub>溶液，以便除去Na<sub>2</sub>SO<sub>4</sub,Na<sub>2</sub>CO<sub>3</sub>溶液必须在BaCl<sub>2</sub>溶液之后加入，且稍过量一些,加入的NaOH溶液的顺序没有要求，只要稍过量就可以了,在上述步骤完成后，不需要任何操作，直接加入稀盐酸至无气泡产生，即可达到目的,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/85b3347c9b791d2c9ce7db66bdaf_10659236ex.png,d2c9ce7db66bdaf_10659236ex.png,,,,,,,,,,,,
在足量NaI溶液中，加入少量氯水及四氯化碳，振荡后静置，出现的现象（　　）,溶液不分层，溶液呈紫红色,溶液分两层，上层液体呈紫红色,溶液分两层，下层液体呈紫红色,溶液分两层，下层是无色液体,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/aa83fad0ebacd974ecf91bc6be3b_5167043ex.png,d974ecf91bc6be3b_5167043ex.png,,,,,,,,,,,,
一些装有化学物质的容器上常贴有危险化学品的标志。下列标志中，应贴在装有NaOH固体的容器上的是（ ）,img height="72" src="/files/attach/files/content/2020/0325/89e853b24cf9c2fbf0aed2febd8e4aff.png" v:shapes="图片_x0020_100001" width="72",img height="69" src="/files/attach/files/content/2020/0325/05ebaf06cd391598b3f6ff29cbd586bf.png" v:shapes="图片_x0020_100002" width="69",img height="76" src="/files/attach/files/content/2020/0325/6a4923158e229d47abbc8160343783a9.png" v:shapes="图片_x0020_100003" width="76",img height="69" src="/files/attach/files/content/2020/0325/497df94eb5e4e32e7748a5e9a6737ce0.png" v:shapes="图片_x0020_100004" width="69",B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/f65d996a0c03fc117a13ac38d87c_7129345ex.png,fc117a13ac38d87c_7129345ex.png,,,,,,,,,,,,
某学生要提纯混有泥沙的食盐，他设计的主要操作有：溶解、过滤、蒸发．在这些操作中都需要使用的仪器是（　　）,烧杯,漏斗,玻璃棒,酒精灯,C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/4dbccf1565f65c0ed1a9f7c80ffe_5167033ex.png,5c0ed1a9f7c80ffe_5167033ex.png,,,,,,,,,,,,
适合贴在存放浓酸、浓碱药品柜上的图标是（ ）,img alt="" height="81" src="/files/attach/files/content/2020/0325/363c66ab3a4de3a27dcf8c2d9623536d.png" v:shapes="_x0000_i1037" width="85",img alt="" height="76" src="/files/attach/files/content/2020/0325/207bac8e997a3645d0e446f3463efad7.png" v:shapes="_x0000_i1038" width="79",img alt="" height="81" src="/files/attach/files/content/2020/0325/3311cdcd2fd5654e469c5b53943c8be9.png" v:shapes="_x0000_i1039" width="87",img alt="" height="82" src="/files/attach/files/content/2020/0325/7e792fbbfe817b45a328577e8f3ba8fe.png" v:shapes="_x0000_i1040" width="86",C,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c2d300f8ba46b0893db4b450db6c_3894206ex.png,b0893db4b450db6c_3894206ex.png,,,,,,,,,,,,
欲除去某溶液里混有的少量杂质，下列做法中错误的是（括号内的物质为杂质）（）,KNO<sub>3</sub>溶液（AgNO<sub>3</sub>）:加入过量KCl溶液，过滤,NaCl溶液（BaCl<sub>2</sub>）：加过量Na<sub>2</sub>CO<sub>3</sub>溶液，过滤，再加适量盐酸再加热,碘单质I<sub>2</sub>（NaCl）：加热升华后，再凝华,NaCl溶液（Br<sub>2</sub>）：加CCl<sub>4</sub>  ， 萃取分液,A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/5102475c6ec59e8e4e38ec923b9b_10659142ex.png,e8e4e38ec923b9b_10659142ex.png,,,,,,,,,,,,
在实验室中进行蒸发和过滤操作，都要用到的仪器是（ ）,烧杯,蒸发皿,酒精灯,玻璃棒,D,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/c2cb840bcc048cba6d50f69f1efd_3877046ex.png,8cba6d50f69f1efd_3877046ex.png,,,,,,,,,,,,
贴有下列危险品标志的药品起火时，不能用水灭火的是（ ）,img alt="" height="102" src="/files/attach/files/content/2020/0325/e96b207d3c04c97c70d4db2d2724eafa.png" v:shapes="picture24" width="103"/> 剧毒品,img alt="" height="119" src="/files/attach/files/content/2020/0325/6974d144bcee21bca4234579b1c39d4a.png" v:shapes="_x0000_i1026" width="122"/> 遇湿易燃物品,img alt="" height="107" src="/files/attach/files/content/2020/0325/87a929a6bf5929e7be5e22d3880a0071.png" v:shapes="_x0000_i1027" width="107"/> 腐蚀品,img alt="" height="102" src="/files/attach/files/content/2020/0325/942c28790e7c91e44ae823bdcd6cfb62.png" v:shapes="_x0000_i1028" width="102"/> 有害品（远离食品）,B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/4b90b022b249cec606086bcf1a10_2772075ex.png,cec606086bcf1a10_2772075ex.png,,,,,,,,,,,,
下列仪器适合用于萃取分液的是（　　）,img alt="" height="53" src="/files/attach/files/content/2020/0325/65e4e78717978489a854023ffcb9696e.png" v:shapes="_x0000_i1080" width="35",img alt="" height="59" src="/files/attach/files/content/2020/0325/b2fe7186779eaeeaf55a0fc146921836.png" v:shapes="_x0000_i1079" width="20",img alt="" height="60" src="/files/attach/files/content/2020/0325/bc5b501f0c342eca61e5e469cad1958a.png" v:shapes="_x0000_i1078" width="29",img alt="" height="49" src="/files/attach/files/content/2020/0325/21d6994b4c64a65c75e3c9149721b055.png" v:shapes="_x0000_i1077" width="25",B,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/3a9baae74f07903eabb228f433b1_5168785ex.png,903eabb228f433b1_5168785ex.png,,,,,,,,,,,,
下列物质中含有的杂质（括号内为杂质），不可以用加热的方法除去的是（　　）,CaCO<sub>3</sub>（CaO）,Na<sub>2</sub>O<sub>2</sub>（Na<sub>2</sub>O）,Na<sub>2</sub>CO<sub>3</sub>（NaHCO<sub>3</sub>）,MgO[Mg（OH）<sub>2</sub>],A,https://gz.shuatiw.com/ias/attach/files/content/2020/0325/4a521b3876b50bb16720fd00ec2f_5067863ex.png,0bb16720fd00ec2f_5067863ex.png,,,,,,,,,,,,
